Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Feast,http://www.boxofficemojo.com/movies/?id=feast.htm,09/22/2006,R,88,54556,146,56131,632723,688854
Finding Nemo,http://www.boxofficemojo.com/movies/?id=findingnemo.htm,05/30/2003,G,104,70251710,3425,380843261,555900000,936743261
Flesh and Blood,http://www.boxofficemojo.com/movies/?id=fleshandblood.htm,08/30/1985,R,126,null,null,null,null,null
For the Moment,http://www.boxofficemojo.com/movies/?id=forthemoment.htm,04/19/1996,PG-13,119,7917,3,121548,null,null
Fraude,http://www.boxofficemojo.com/movies/?id=fraude.htm,10/10/2008,Unrated,110,2369,5,3637,1112302,1115939
The Front,http://www.boxofficemojo.com/movies/?id=front.htm,09/17/1976,PG,95,null,null,null,null,null
The Garden,http://www.boxofficemojo.com/movies/?id=garden09.htm,04/24/2009,Unrated,80,4114,4,26931,null,null
Ghost Town,http://www.boxofficemojo.com/movies/?id=ghosttown.htm,09/19/2008,PG-13,102,5012315,1512,13367624,13706868,27074492
Glen or Glenda?,http://www.boxofficemojo.com/movies/?id=glenorglenda53.htm,1953,Unrated,67,null,null,null,null,null
Gone Girl,http://www.boxofficemojo.com/movies/?id=gonegirl.htm,10/03/2014,R,145,37513109,3284,167767189,200294722,368061911
The Graduate,http://www.boxofficemojo.com/movies/?id=graduate.htm,12/21/1967,PG,106,null,null,104945305,null,null
Greetings from Tim Buckley,http://www.boxofficemojo.com/movies/?id=greetingsfromtimbuckley.htm,05/03/2013,Unrated,99,null,3,11157,null,null
Haiku Tunnel,http://www.boxofficemojo.com/movies/?id=haikutunnel.htm,09/14/2001,R,90,43695,14,92723,null,null
Happy Times,http://www.boxofficemojo.com/movies/?id=happytimes.htm,07/26/2002,PG,95,31084,14,240093,n/a,240093
Hayride 2,http://www.boxofficemojo.com/movies/?id=hayride2.htm,03/06/2015,R,92,1668,10,2571,null,null
Hellbound?,http://www.boxofficemojo.com/movies/?id=hellbound.htm,09/21/2012,Unrated,84,3938,5,22887,null,null
High Heels and Low Lifes,http://www.boxofficemojo.com/movies/?id=highheelsandlowlifes.htm,10/26/2001,R,86,113512,175,228194,n/a,228194
Hollywoodland,http://www.boxofficemojo.com/movies/?id=hollywoodland.htm,09/08/2006,R,126,5926177,1551,14426251,2377502,16803753
The Hot Spot,http://www.boxofficemojo.com/movies/?id=hotspot.htm,10/12/1990,R,130,112188,365,1293976,null,null
How to Survive a Plague,http://www.boxofficemojo.com/movies/?id=surviveaplague.htm,09/21/2012,Unrated,109,28250,15,132055,null,null
I Could Never Be Your Woman,http://www.boxofficemojo.com/movies/?id=icouldneverbeyourwoman.htm,N/A,PG-13,97,null,null,n/a,9576495,9576495
The Iceman Cometh,http://www.boxofficemojo.com/movies/?id=icemancometh.htm,11/10/1973,PG,N/A,null,null,null,null,null
In My Father's Den,http://www.boxofficemojo.com/movies/?id=inmyfathersden.htm,N/A,R,N/A,null,null,n/a,1614675,1614675
Inland Empire,http://www.boxofficemojo.com/movies/?id=inlandempire.htm,12/06/2006,R,179,27508,15,861355,3176222,4037577
The Invisible Woman,http://www.boxofficemojo.com/movies/?id=invisiblewoman.htm,12/25/2013,R,111,31948,153,1234254,n/a,1234254
