Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Let's Get Married,http://www.boxofficemojo.com/movies/?id=letsgetmarried.htm,04/03/2015,Unrated,127,180929,39,350437,n/a,350437
Let's Go to Prison,http://www.boxofficemojo.com/movies/?id=letsgotoprison.htm,11/17/2006,R,84,2220050,1495,4630045,null,null
Let's Spend the Night Together,http://www.boxofficemojo.com/movies/?id=letsspendthenighttogether.htm,02/11/1983,PG,91,1319050,475,3821199,null,null
Lethal Weapon,http://www.boxofficemojo.com/movies/?id=lethalweapon.htm,03/06/1987,R,110,6829949,1420,65207127,55000000,120207127
Lethal Weapon 2,http://www.boxofficemojo.com/movies/?id=lethalweapon2.htm,07/07/1989,R,113,20388800,1830,147253986,80600000,227853986
Lethal Weapon 3,http://www.boxofficemojo.com/movies/?id=lethalweapon3.htm,05/15/1992,R,118,33243086,2568,144731527,177000000,321731527
Lethal Weapon 4,http://www.boxofficemojo.com/movies/?id=lethalweapon4.htm,07/10/1998,R,127,34048124,3117,130444603,155000000,285444603
Letter to Brezhnev,http://www.boxofficemojo.com/movies/?id=lettertobrezhnev.htm,05/02/1986,R,94,null,null,null,null,null
A Letter to Momo,http://www.boxofficemojo.com/movies/?id=lettertomomo.htm,07/23/2014,Unrated,120,4596,7,71712,6677000,6748712
A Letter to True,http://www.boxofficemojo.com/movies/?id=lettertotrue.htm,09/08/2004,Unrated,78,4395,1,15635,n/a,15635
The Letter:An American Town and the 'Somali Invasion',http://www.boxofficemojo.com/movies/?id=letter05.htm,02/09/2005,Unrated,76,789,1,1479,null,null
Letters from Iwo Jima,http://www.boxofficemojo.com/movies/?id=lettersfromiwojima.htm,12/20/2006,R,141,1696356,781,13756082,54917146,68673228
Letters to God,http://www.boxofficemojo.com/movies/?id=letterstogod.htm,04/09/2010,PG,110,1088873,897,2848578,60315,2908893
Letters to Juliet,http://www.boxofficemojo.com/movies/?id=letterstojuliet.htm,05/14/2010,PG,105,13540486,2975,53032453,26149297,79181750
Level Five,http://www.boxofficemojo.com/movies/?id=levelfive.htm,08/15/2014,Unrated,106,7161,2,24309,null,null
Leviathan,http://www.boxofficemojo.com/movies/?id=leviathan.htm,03/17/1989,R,98,5029164,1393,15704614,null,null
Leviathan (2013),http://www.boxofficemojo.com/movies/?id=leviathan2013.htm,03/01/2013,Unrated,87,10000,5,76211,null,null
Leviathan (2014),http://www.boxofficemojo.com/movies/?id=leviathan2014.htm,12/25/2014,R,140,15200,80,1092800,n/a,1092800
Levitated Mass,http://www.boxofficemojo.com/movies/?id=levitatedmass.htm,09/05/2014,Unrated,88,4589,3,16086,null,null
Levity,http://www.boxofficemojo.com/movies/?id=levity.htm,04/04/2003,R,100,30599,17,209695,n/a,209695
Li'l Quinquin,http://www.boxofficemojo.com/movies/?id=lilquinquin.htm,01/02/2015,Unrated,200,3204,2,5604,null,null
Liam,http://www.boxofficemojo.com/movies/?id=liam.htm,09/21/2001,R,91,44399,55,1016021,929668,1945689
