Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
Faster,http://www.boxofficemojo.com/movies/?id=faster10.htm,11/24/2010,R,98,8523153,2470,23240020,12386938,35626958
Faster (2004),http://www.boxofficemojo.com/movies/?id=faster.htm,04/23/2004,PG-13,103,13995,1,16265,null,null
Fat Albert,http://www.boxofficemojo.com/movies/?id=fatalbert.htm,12/25/2004,PG,100,10021510,2744,48116322,435000,48551322
Fat City,http://www.boxofficemojo.com/movies/?id=fatcity.htm,07/27/1972,PG,N/A,null,null,null,null,null
Fat Girl,http://www.boxofficemojo.com/movies/?id=fatgirl.htm,10/12/2001,Unrated,93,31237,17,725854,n/a,725854
Fat Girls,http://www.boxofficemojo.com/movies/?id=fatgirls.htm,10/12/2007,R,82,null,2,11204,null,null
Fat Kid Rules the World,http://www.boxofficemojo.com/movies/?id=fatkidrulestheworld.htm,10/05/2012,R,N/A,1450,1,41457,null,null
Fat Man and Little Boy,http://www.boxofficemojo.com/movies/?id=fatmanandlittleboy.htm,10/20/1989,PG-13,126,1476994,843,3563162,null,null
Fatal Assistance,http://www.boxofficemojo.com/movies/?id=fatalassistance.htm,02/28/2014,Unrated,99,3000,1,3000,null,null
Fatal Attraction,http://www.boxofficemojo.com/movies/?id=fatalattraction.htm,09/18/1987,R,123,7602740,1401,156645693,163500000,320145693
Fatal Beauty,http://www.boxofficemojo.com/movies/?id=fatalbeauty.htm,10/30/1987,R,104,2693714,1117,12046526,null,null
Fatal Instinct,http://www.boxofficemojo.com/movies/?id=fatalinstinct.htm,10/29/1993,PG-13,90,3502569,1886,7839327,null,null
Fateless,http://www.boxofficemojo.com/movies/?id=fateless.htm,01/06/2006,R,126,12680,9,196857,2315152,2512009
Father and Son,http://www.boxofficemojo.com/movies/?id=fatherandson.htm,06/18/2004,Unrated,83,4541,3,39291,n/a,39291
Father Hood,http://www.boxofficemojo.com/movies/?id=fatherhood.htm,08/27/1993,PG-13,95,1286806,643,3418141,null,null
Father of My Children,http://www.boxofficemojo.com/movies/?id=fatherofmychildren.htm,05/21/2010,Unrated,120,10414,7,144022,335260,479282
Father of the Bride,http://www.boxofficemojo.com/movies/?id=fatherofthebride.htm,12/20/1991,PG,105,7031146,1712,89325780,null,null
Father of the Bride Part II,http://www.boxofficemojo.com/movies/?id=fatherofthebridepart2.htm,12/08/1995,PG,106,11134978,2148,76594107,null,null
Father's Day,http://www.boxofficemojo.com/movies/?id=fathersday.htm,05/09/1997,PG-13,99,8776159,2507,28598376,null,null
Fathers & Sons,http://www.boxofficemojo.com/movies/?id=fathersandsons.htm,11/06/1992,PG-13,99,null,null,6960,null,null
Fatso,http://www.boxofficemojo.com/movies/?id=fatso.htm,02/01/1980,PG,93,null,null,7653061,null,null
The Fault in our Stars,http://www.boxofficemojo.com/movies/?id=faultinourstars.htm,06/06/2014,PG-13,125,48002523,3340,124872350,182366663,307239013
Faust,http://www.boxofficemojo.com/movies/?id=faust.htm,11/15/2013,Unrated,134,10030,6,58132,null,null
Favela Rising,http://www.boxofficemojo.com/movies/?id=favelarising.htm,06/02/2006,Unrated,82,7768,2,19781,null,null
The Favor,http://www.boxofficemojo.com/movies/?id=favor.htm,04/29/1994,R,96,1487238,1029,3134381,null,null
Fay Grim,http://www.boxofficemojo.com/movies/?id=faygrim.htm,05/18/2007,R,96,61817,28,126714,64784,191498
The FBI Story,http://www.boxofficemojo.com/movies/?id=fbistory.htm,October 1959,Unrated,149,null,null,null,null,null
