Movie name, URL, Release Date, MPAA Rating, Run Time,  Opening Weekend Total, Number of Theaters, Domestic Total Sales, Foreign Total Sales, Global Total Sales
$9.99 ,http://www.boxofficemojo.com/movies/?id=9dot99.htm,12/12/2008,R,78,478,4,52384,655970,708354
$upercapitalist,http://www.boxofficemojo.com/movies/?id=supercapitalist.htm,8/10/2012,Unrated,96,8372,1,15919,null,null
(500) Days of Summer,http://www.boxofficemojo.com/movies/?id=500daysofsummer.htm,7/17/2009,PG-13,95,3739702,1048,32391374,28331360,60722734
(Untitled),http://www.boxofficemojo.com/movies/?id=untitled.htm,10/23/2009,R,96,18002,25,230600,null,null
...And Justice for All,http://www.boxofficemojo.com/movies/?id=andjusticeforall.htm,10/19/1979,R,119,null,null,33300000,null,null
1 Mile Above,http://www.boxofficemojo.com/movies/?id=1mileabove.htm,6/7/2013,Not Yet Rated,87,null,null,null,1744,null
1+1=11,http://www.boxofficemojo.com/movies/?id=1plus1.htm,3/28/2003,Unrated,N/A,92342,18,132498,null,null
1000 Times Good Night,http://www.boxofficemojo.com/movies/?id=1000times.htm,10/24/2014,Unrated,117,24120,24,53895,n/a,53895
10,http://www.boxofficemojo.com/movies/?id=10.htm,10/5/1979,R,121,3526692,null,74865517,null,null
10 Days in a Madhouse,http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm,9/25/2015,Unrated,111,null,null,null,null,null
10 Items or Less,http://www.boxofficemojo.com/movies/?id=10itemsorless.htm,12/1/2006,R,82,35929,15,83291,1315931,1399222
10 Questions for the Dalai Lama,http://www.boxofficemojo.com/movies/?id=10questionsforthedalailama.htm,4/27/2007,Unrated,89,null,11,224546,259941,484487
10 Rules for Sleeping Around,http://www.boxofficemojo.com/movies/?id=10rules.htm,4/4/2014,R,94,null,null,null,null,null
10 Things I Hate About You,http://www.boxofficemojo.com/movies/?id=10thingsihateaboutyou.htm,3/31/1999,PG-13,97,8330681,2311,38178166,15300000,53478166
10 to Midnight,http://www.boxofficemojo.com/movies/?id=10tomidnight.htm,3/11/1983,R,103,3050225,595,7175592,null,null
10 Years,http://www.boxofficemojo.com/movies/?id=10years.htm,9/14/2012,PG-13,100,22707,63,203373,n/a,203373
10000 B.C.,http://www.boxofficemojo.com/movies/?id=10000bc.htm,3/7/2008,PG-13,109,35867488,3454,94784201,175000000,269784201
100 Bloody Acres,http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm,6/28/2013,Unrated,N/A,3419,13,6388,null,null
The 100-Year Old Man Who Climbed Out the Window and Disappeared,http://www.boxofficemojo.com/movies/?id=100yearoldman.htm,5/1/2015,R,114,null,null,n/a,50186000,50186000
101 Dalmatians,http://www.boxofficemojo.com/movies/?id=101dalmations.htm,1/25/1961,G,79,null,null,144880014,71000000,215880014
101 Dalmatians (1996),http://www.boxofficemojo.com/movies/?id=101dalmatiansliveaction.htm,11/27/1996,G,103,33504025,2901,136189294,184500000,320689294
101 Dalmatians (Re-issue) (1969),http://www.boxofficemojo.com/movies/?id=101dalmatians69.htm,1/1/1969,G,79,null,null,144880014,null,null
101 Dalmatians (Re-issue) (1979),http://www.boxofficemojo.com/movies/?id=101dalmatians79.htm,1/1/1979,G,79,null,null,144880014,null,null
101 Dalmatians (Re-issue) (1985),http://www.boxofficemojo.com/movies/?id=101dalmatians85.htm,12/20/1985,G,79,2389226,1185,144880014,null,null
101 Dalmatians (Re-issue) (1991),http://www.boxofficemojo.com/movies/?id=101dalmatians91.htm,7/12/1991,G,79,10279044,1825,144880014,null,null
101 Reykjavik,http://www.boxofficemojo.com/movies/?id=101reykjavik.htm,7/27/2001,Unrated,100,14656,2,126404,n/a,126404
102 Dalmatians,http://www.boxofficemojo.com/movies/?id=102dalmatians.htm,11/22/2000,G,104,19883351,2704,66957026,116654745,183611771
10th & Wolf,http://www.boxofficemojo.com/movies/?id=10thandwolf.htm,8/18/2006,R,110,20774,6,54702,88749,143451
11 Flowers,http://www.boxofficemojo.com/movies/?id=11flowers.htm,2/22/2013,Unrated,110,3516,2,9213,null,null
11/11/2011,http://www.boxofficemojo.com/movies/?id=111111.htm,11/11/2011,PG-13,82,32771,17,32771,5706613,5739384
The 11th Hour,http://www.boxofficemojo.com/movies/?id=11thhour.htm,8/17/2007,PG,93,60853,111,707343,277864,985207
12,http://www.boxofficemojo.com/movies/?id=12.htm,3/4/2009,PG-13,159,12042,20,125120,7412333,7537453
12 Angry Men,http://www.boxofficemojo.com/movies/?id=12angrymen.htm,4/13/1957,Unrated,96,null,null,null,null,null
12 Monkeys,http://www.boxofficemojo.com/movies/?id=twelvemonkeys.htm,12/29/1995,R,130,13842990,1629,57141459,111698000,168839459
12 O'Clock Boys,http://www.boxofficemojo.com/movies/?id=12oclockboys.htm,1/31/2014,Unrated,76,44108,21,82614,null,null
12 Rounds,http://www.boxofficemojo.com/movies/?id=12rounds.htm,3/27/2009,PG-13,108,5329240,2331,12234694,5045632,17280326
12 Years a Slave,http://www.boxofficemojo.com/movies/?id=twelveyearsaslave.htm,10/18/2013,R,133,6675731,1474,56671993,131061209,187733202
12/12/2012,http://www.boxofficemojo.com/movies/?id=121212.htm,11/15/2013,R,105,null,null,null,null,null
127 Hours,http://www.boxofficemojo.com/movies/?id=127hours.htm,11/5/2010,R,93,2136801,916,18335230,42403567,60738797
