title,url,release date,release year,budget,revenue,director,actor,distributor,genre
'Star 80',http://en.wikipedia.org/wiki/Star_80,null,1983,12000000,6472990,Bob Fosse;http://en.wikipedia.org/wiki/Bob_Fosse,Mariel Hemingway;http://en.wikipedia.org/wiki/Mariel_Hemingway|Eric Roberts;http://en.wikipedia.org/wiki/Eric_Roberts|Cliff Robertson;http://en.wikipedia.org/wiki/Cliff_Robertson|Carroll Baker;http://en.wikipedia.org/wiki/Carroll_Baker|Roger Rees;http://en.wikipedia.org/wiki/Roger_Rees|David Clennon;http://en.wikipedia.org/wiki/David_Clennon,Warner Bros.;http://en.wikipedia.org/wiki/Warner_Bros.,null
'Starcrash',http://en.wikipedia.org/wiki/Starcrash,null,1979,4000000,null,Luigi Cozzi;http://en.wikipedia.org/wiki/Luigi_Cozzi,Marjoe Gortner;http://en.wikipedia.org/wiki/Marjoe_Gortner|Caroline Munro;http://en.wikipedia.org/wiki/Caroline_Munro|Judd Hamilton ;http://en.wikipedia.org/w/index.php?title=Judd_Hamilton&action=edit&redlink=1|Robert Tessier;http://en.wikipedia.org/wiki/Robert_Tessier|Christopher Plummer;http://en.wikipedia.org/wiki/Christopher_Plummer|David Hasselhoff;http://en.wikipedia.org/wiki/David_Hasselhoff|Joe Spinell;http://en.wikipedia.org/wiki/Joe_Spinell,New World Pictures;http://en.wikipedia.org/wiki/New_World_Pictures,science|fiction
'Stardom',http://en.wikipedia.org/wiki/Stardom,null,2000,6982,10632,Denys Arcand;http://en.wikipedia.org/wiki/Denys_Arcand,Jessica Paré;http://en.wikipedia.org/wiki/Jessica_Par%C3%A9|Dan Aykroyd;http://en.wikipedia.org/wiki/Dan_Aykroyd,Lionsgate Films;http://en.wikipedia.org/wiki/Lionsgate_Films|Pathé;http://en.wikipedia.org/wiki/Path%C3%A9,comedy|drama
'Stardust Memories',http://en.wikipedia.org/wiki/Stardust_Memories,1980-09-26,1980,10000000,10389003,Woody Allen;http://en.wikipedia.org/wiki/Woody_Allen,Charlotte Rampling;http://en.wikipedia.org/wiki/Charlotte_Rampling|Jessica Harper;http://en.wikipedia.org/wiki/Jessica_Harper|Marie-Christine Barrault;http://en.wikipedia.org/wiki/Marie-Christine_Barrault|Tony Roberts (actor);http://en.wikipedia.org/wiki/Tony_Roberts_(actor),United Artists;http://en.wikipedia.org/wiki/United_Artists,comedy|drama
'Star! (film)',http://en.wikipedia.org/wiki/Star!_(film),1968-07-18,1968,14320000,4000000,Robert Wise;http://en.wikipedia.org/wiki/Robert_Wise,Julie Andrews;http://en.wikipedia.org/wiki/Julie_Andrews|Richard Crenna;http://en.wikipedia.org/wiki/Richard_Crenna|Daniel Massey (actor);http://en.wikipedia.org/wiki/Daniel_Massey_(actor),20th Century Fox;http://en.wikipedia.org/wiki/20th_Century_Fox,musical
'Stargate (film)',http://en.wikipedia.org/wiki/Stargate_(film),1994-10-28,1994,55000000,196567262,Roland Emmerich;http://en.wikipedia.org/wiki/Roland_Emmerich,Kurt Russell;http://en.wikipedia.org/wiki/Kurt_Russell|James Spader;http://en.wikipedia.org/wiki/James_Spader|Jaye Davidson;http://en.wikipedia.org/wiki/Jaye_Davidson|Viveca Lindfors;http://en.wikipedia.org/wiki/Viveca_Lindfors,Metro-Goldwyn-Mayer;http://en.wikipedia.org/wiki/Metro-Goldwyn-Mayer|Pathé;http://en.wikipedia.org/wiki/Path%C3%A9|Universal Studios;http://en.wikipedia.org/wiki/Universal_Studios,adventure|science|fiction
'Starkweather (film)',http://en.wikipedia.org/wiki/Starkweather_(film),null,2004,null,null,null;null,null;null,null;null,null
'Starman (film)',http://en.wikipedia.org/wiki/Starman_(film),1984-12-14,1984,24000000,28744356,John Carpenter;http://en.wikipedia.org/wiki/John_Carpenter,Jeff Bridges;http://en.wikipedia.org/wiki/Jeff_Bridges|Karen Allen;http://en.wikipedia.org/wiki/Karen_Allen|Charles Martin Smith;http://en.wikipedia.org/wiki/Charles_Martin_Smith|Richard Jaeckel;http://en.wikipedia.org/wiki/Richard_Jaeckel,Columbia Pictures;http://en.wikipedia.org/wiki/Columbia_Pictures,romantic|science|fiction
'Starship Troopers (film)',http://en.wikipedia.org/wiki/Starship_Troopers_(film),1997-11-07,1997,105000000,121214377,Paul Verhoeven;http://en.wikipedia.org/wiki/Paul_Verhoeven,Casper Van Dien;http://en.wikipedia.org/wiki/Casper_Van_Dien|Dina Meyer;http://en.wikipedia.org/wiki/Dina_Meyer|Denise Richards;http://en.wikipedia.org/wiki/Denise_Richards|Jake Busey;http://en.wikipedia.org/wiki/Jake_Busey|Neil Patrick Harris;http://en.wikipedia.org/wiki/Neil_Patrick_Harris|Patrick Muldoon;http://en.wikipedia.org/wiki/Patrick_Muldoon|Clancy Brown;http://en.wikipedia.org/wiki/Clancy_Brown|Michael Ironside;http://en.wikipedia.org/wiki/Michael_Ironside,Walt Disney Studios Motion Pictures;http://en.wikipedia.org/wiki/Walt_Disney_Studios_Motion_Pictures,science|fiction|action|science|fiction
'Starsky & Hutch (film)',http://en.wikipedia.org/wiki/Starsky_%26_Hutch_(film),2004-03-05,2004,60000000,170268750,Todd Phillips;http://en.wikipedia.org/wiki/Todd_Phillips,Ben Stiller;http://en.wikipedia.org/wiki/Ben_Stiller|Owen Wilson;http://en.wikipedia.org/wiki/Owen_Wilson|Vince Vaughn;http://en.wikipedia.org/wiki/Vince_Vaughn|Snoop Dogg;http://en.wikipedia.org/wiki/Snoop_Dogg,Warner Bros.;http://en.wikipedia.org/wiki/Warner_Bros.|Dimension Films;http://en.wikipedia.org/wiki/Dimension_Films|Miramax Films;http://en.wikipedia.org/wiki/Miramax_Films,crime|action|comedy
