name,url,gender,role,event
'Eddie Redmayne',http://en.wikipedia.org/wiki/Eddie_Redmayne,male,lead,'21st Screen Actors Guild Awards'
'Julianne Moore',http://en.wikipedia.org/wiki/Julianne_Moore,female,lead,'21st Screen Actors Guild Awards'
'J K Simmons',http://en.wikipedia.org/wiki/J._K._Simmons,male,support,'21st Screen Actors Guild Awards'
'Patricia Arquette',http://en.wikipedia.org/wiki/Patricia_Arquette,female,support,'21st Screen Actors Guild Awards'
'Matthew McConaughey',http://en.wikipedia.org/wiki/Matthew_McConaughey,male,lead,'20th Screen Actors Guild Awards'
'Cate Blanchett',http://en.wikipedia.org/wiki/Cate_Blanchett,female,lead,'20th Screen Actors Guild Awards'
'Jared Leto',http://en.wikipedia.org/wiki/Jared_Leto,male,support,'20th Screen Actors Guild Awards'
'Lupita Nyongo',http://en.wikipedia.org/wiki/Lupita_Nyong%27o,female,support,'20th Screen Actors Guild Awards'
'Daniel Day-Lewis',http://en.wikipedia.org/wiki/Daniel_Day-Lewis,male,lead,'19th Screen Actors Guild Awards'
'Jennifer Lawrence',http://en.wikipedia.org/wiki/Jennifer_Lawrence,female,lead,'19th Screen Actors Guild Awards'
'Tommy Lee Jones',http://en.wikipedia.org/wiki/Tommy_Lee_Jones,male,support,'19th Screen Actors Guild Awards'
'Anne Hathaway',http://en.wikipedia.org/wiki/Anne_Hathaway,female,support,'19th Screen Actors Guild Awards'
'Jean Dujardin',http://en.wikipedia.org/wiki/Jean_Dujardin,male,lead,'18th Screen Actors Guild Awards'
'Viola Davis',http://en.wikipedia.org/wiki/Viola_Davis,female,lead,'18th Screen Actors Guild Awards'
'Christopher Plummer',http://en.wikipedia.org/wiki/Christopher_Plummer,male,support,'18th Screen Actors Guild Awards'
'Octavia Spencer',http://en.wikipedia.org/wiki/Octavia_Spencer,female,support,'18th Screen Actors Guild Awards'
'Colin Firth',http://en.wikipedia.org/wiki/Colin_Firth,male,lead,'17th Screen Actors Guild Awards'
'Natalie Portman',http://en.wikipedia.org/wiki/Natalie_Portman,female,lead,'17th Screen Actors Guild Awards'
'Christian Bale',http://en.wikipedia.org/wiki/Christian_Bale,male,support,'17th Screen Actors Guild Awards'
'Melissa Leo',http://en.wikipedia.org/wiki/Melissa_Leo,female,support,'17th Screen Actors Guild Awards'
'Jeff Bridges',http://en.wikipedia.org/wiki/Jeff_Bridges,male,lead,'16th Screen Actors Guild Awards'
'Sandra Bullock',http://en.wikipedia.org/wiki/Sandra_Bullock,female,lead,'16th Screen Actors Guild Awards'
'Christoph Waltz',http://en.wikipedia.org/wiki/Christoph_Waltz,male,support,'16th Screen Actors Guild Awards'
'MoNique',http://en.wikipedia.org/wiki/Mo%27Nique,female,support,'16th Screen Actors Guild Awards'
'Sean Penn',http://en.wikipedia.org/wiki/Sean_Penn,male,lead,'15th Screen Actors Guild Awards'
'Meryl Streep',http://en.wikipedia.org/wiki/Meryl_Streep,female,lead,'15th Screen Actors Guild Awards'
'Heath Ledger',http://en.wikipedia.org/wiki/Heath_Ledger,male,support,'15th Screen Actors Guild Awards'
'Kate Winslet',http://en.wikipedia.org/wiki/Kate_Winslet,female,support,'15th Screen Actors Guild Awards'
